emoji,count,tokens,mult
derelict house building,21099,derelictxhousexbuilding,
pick,21075,pick,
circled latin capital letter m,21065,circledxlatinxcapitalxletterxm,
om symbol,20776,omxsymbol,
oncoming taxi,20743,oncomingxtaxi,
cityscape,20708,cityscape,
vertical traffic light,20668,verticalxtrafficxlight,
baby symbol,20620,babyxsymbol,
stadium,20600,stadium,
running shirt with sash,20569,runningxshirtxwithxsash,
ship,20466,ship,
flag for guatemala,20361,flagxforxguatemala,
fountain,20150,fountain,
optical disc,20111,opticalxdisc,
family woman boy,20001,familyxwomanxboy,
envelope with downwards arrow above,19998,envelopexwithxdownwardsxarrowxabove,
person bald,19952,personxbald,
chopsticks,19948,chopsticks,
zebra face,19914,zebraxface,
pinching hand,19755,pinchingxhand,
flag for cambodia,19664,flagxforxcambodia,
large orange diamond,19590,largexorangexdiamond,
white flower,19483,whitexflower,
door,19479,door,
red gift envelope,19370,redxgiftxenvelope,
family man girl,19310,familyxmanxgirl,
takeout box,19139,takeoutxbox,
flag for chile,18968,flagxforxchile,
currency exchange,18794,currencyxexchange,
hammer and pick,18778,hammerxandxpick,
desert,18774,desert,
family woman woman girl boy,18612,familyxwomanxwomanxgirlxboy,
synagogue,18544,synagogue,
pouch,18412,pouch,
cityscape at dusk,18407,cityscapexatxdusk,
family woman woman boy,18373,familyxwomanxwomanxboy,
flying saucer,18183,flyingxsaucer,
mango,18148,mango,
person climbing,18128,personxclimbing,
family woman woman girl girl,18103,familyxwomanxwomanxgirlxgirl,
family woman woman girl,18091,familyxwomanxwomanxgirl,
seat,18054,seat,
scales,17832,scales,
japanese castle,17804,japanesexcastle,
negative squared latin capital letter p,17767,negativexsquaredxlatinxcapitalxletterxp,
low brightness symbol,17697,lowxbrightnessxsymbol,
squared up with exclamation mark,17685,squaredxupxwithxexclamationxmark,
national park,17667,nationalxpark,
gloves,17629,gloves,
house buildings,17551,housexbuildings,
lock with ink pen,17540,lockxwithxinkxpen,
flag for ukraine,17531,flagxforxukraine,
flag for philippines,17466,flagxforxphilippines,
arrow pointing rightwards then curving downwards,17453,arrowxpointingxrightwardsxthenxcurvingxdownwards,
flag for ireland,17451,flagxforxireland,
closed book,17382,closedxbook,
classical building,17341,classicalxbuilding,
wrench,17274,wrench,
japanese symbol for beginner,17220,japanesexsymbolxforxbeginner,
flag for iraq,17186,flagxforxiraq,
nut and bolt,17180,nutxandxbolt,
bank,17160,bank,
peacock,17136,peacock,
flag for cuba,16997,flagxforxcuba,
flag for haiti,16984,flagxforxhaiti,
superhero,16851,superhero,
supervillain,16843,supervillain,
gear,16773,gear,
parrot,16758,parrot,
oncoming bus,16627,oncomingxbus,
foggy,16576,foggy,
dvd,16552,dvd,
notebook,16451,notebook,
flag for austria,16429,flagxforxaustria,
black right pointing triangle,16272,blackxrightxpointingxtriangle,
school,16183,school,
flag for azerbaijan,16168,flagxforxazerbaijan,
pirate flag,16094,piratexflag,
lobster,16086,lobster,
trolleybus,16085,trolleybus,
no mobile phones,15989,noxmobilexphones,
negative squared cross mark,15927,negativexsquaredxcrossxmark,
motorway,15905,motorway,
children crossing,15796,childrenxcrossing,
family man man boy boy,15737,familyxmanxmanxboyxboy,
canned food,15553,cannedxfood,
family woman woman boy boy,15544,familyxwomanxwomanxboyxboy,
bridge at night,15503,bridgexatxnight,
family man man girl boy,15481,familyxmanxmanxgirlxboy,
keycap ten,15471,keycapxten,
flag for palestinian territories,15438,flagxforxpalestinianxterritories,
squared new,15403,squaredxnew,
scooter,15328,scooter,
flag for poland,15298,flagxforxpoland,
railway car,15151,railwayxcar,
sparkle,15115,sparkle,
fortune cookie,15111,fortunexcookie,
flag for scotland,15047,flagxforxscotland,
family woman girl boy,15035,familyxwomanxgirlxboy,
chart with upwards trend,15011,chartxwithxupwardsxtrend,
