emoji,count,tokens,mult
chart with upwards trend and yen sign,4534,chartxwithxupwardsxtrendxandxyenxsign,
flag for kenya,4533,flagxforxkenya,
flag for curacao,4532,flagxforxcuracao,
large yellow square,4531,largexyellowxsquare,
left right arrow,4523,leftxrightxarrow,
flag for brunei,4511,flagxforxbrunei,
black right pointing triangle with double vertical bar,4475,blackxrightxpointingxtrianglexwithxdoublexverticalxbar,
ophiuchus,4473,ophiuchus,
flag for zimbabwe,4458,flagxforxzimbabwe,
flag for belize,4454,flagxforxbelize,
flag for north korea,4447,flagxforxnorthxkorea,
input symbol for latin letters,4431,inputxsymbolxforxlatinxletters,
flag for western sahara,4427,flagxforxwesternxsahara,
flag for gabon,4413,flagxforxgabon,
flag for cocos islands,4390,flagxforxcocosxislands,
lacrosse stick and ball,4362,lacrossexstickxandxball,
flag for us virgin islands,4356,flagxforxusxvirginxislands,
black left pointing double triangle with vertical bar,4326,blackxleftxpointingxdoublextrianglexwithxverticalxbar,
flag for faroe islands,4323,flagxforxfaroexislands,
flag for chad,4317,flagxforxchad,
flag for uzbekistan,4295,flagxforxuzbekistan,
spool of thread,4281,spoolxofxthread,
basket,4273,basket,
goggles,4244,goggles,
flag for french guiana,4239,flagxforxfrenchxguiana,
flag for tonga,4229,flagxforxtonga,
large purple square,4224,largexpurplexsquare,
circled ideograph accept,4211,circledxideographxaccept,
mate drink,4183,matexdrink,
clock face twelve thirty,4182,clockxfacextwelvexthirty,
asterisk,4160,asterisk,
flag for dominica,4159,flagxforxdominica,
input symbol for latin capital letters,4141,inputxsymbolxforxlatinxcapitalxletters,
flag for micronesia,4132,flagxforxmicronesia,
flag united nations,4090,flagxunitedxnations,
falafel,4028,falafel,
flag for caribbean netherlands,4019,flagxforxcaribbeanxnetherlands,
flag for mayotte,3997,flagxforxmayotte,
lotion bottle,3982,lotionxbottle,
flag for sierra leone,3979,flagxforxsierraxleone,
flag for suriname,3971,flagxforxsuriname,
flag for christmas island,3954,flagxforxchristmasxisland,
axe,3935,axe,
flag for sudan,3862,flagxforxsudan,
butter,3836,butter,
flag for canary islands,3832,flagxforxcanaryxislands,
flag for sint maarten,3808,flagxforxsintxmaarten,
flag for gambia,3808,flagxforxgambia,
diving mask,3806,divingxmask,
flag for st kitts nevis,3804,flagxforxstxkittsxnevis,
petri dish,3802,petrixdish,
cinema,3790,cinema,
flag for gibraltar,3783,flagxforxgibraltar,
flag for samoa,3782,flagxforxsamoa,
flag for cayman islands,3766,flagxforxcaymanxislands,
flag for guinea bissau,3743,flagxforxguineaxbissau,
flag for malta,3728,flagxforxmalta,
flag for vatican city,3705,flagxforxvaticanxcity,
flag for falkland islands,3704,flagxforxfalklandxislands,
flag for norfolk island,3682,flagxforxnorfolkxisland,
input symbol for numbers,3675,inputxsymbolxforxnumbers,
flag for south georgia south sandwich islands,3667,flagxforxsouthxgeorgiaxsouthxsandwichxislands,
flag for moldova,3647,flagxforxmoldova,
flag for st lucia,3636,flagxforxstxlucia,
parachute,3635,parachute,
flag for equatorial guinea,3629,flagxforxequatorialxguinea,
flag for niger,3625,flagxforxniger,
flag for mauritius,3608,flagxforxmauritius,
input symbol for latin small letters,3576,inputxsymbolxforxlatinxsmallxletters,
large purple circle,3566,largexpurplexcircle,
flag for british indian ocean territory,3558,flagxforxbritishxindianxoceanxterritory,
auto rickshaw,3545,autoxrickshaw,
flag for togo,3530,flagxforxtogo,
large green circle,3524,largexgreenxcircle,
flag for french polynesia,3524,flagxforxfrenchxpolynesia,
lab coat,3519,labxcoat,
flag for guernsey,3481,flagxforxguernsey,
flag for zambia,3424,flagxforxzambia,
flag for turkmenistan,3424,flagxforxturkmenistan,
flag for macau,3400,flagxforxmacau,
flag for jersey,3399,flagxforxjersey,
flag for uganda,3369,flagxforxuganda,
flag for mozambique,3335,flagxforxmozambique,
large yellow circle,3315,largexyellowxcircle,
flag for maldives,3306,flagxforxmaldives,
sari,3289,sari,
large brown square,3275,largexbrownxsquare,
flag for palau,3264,flagxforxpalau,
input symbol for symbols,3259,inputxsymbolxforxsymbols,
flag for montserrat,3228,flagxforxmontserrat,
flag for papua new guinea,3193,flagxforxpapuaxnewxguinea,
large orange square,3173,largexorangexsquare,
flag for tanzania,3128,flagxforxtanzania,
flag for new caledonia,3126,flagxforxnewxcaledonia,
adhesive bandage,3125,adhesivexbandage,
flag for kiribati,3101,flagxforxkiribati,
flag for liechtenstein,3092,flagxforxliechtenstein,
flag for northern mariana islands,3087,flagxforxnorthernxmarianaxislands,
flag for wallis futuna,3048,flagxforxwallisxfutuna,
stethoscope,3041,stethoscope,
flag for british virgin islands,3035,flagxforxbritishxvirginxislands,
flag for seychelles,3029,flagxforxseychelles,
flag for vanuatu,3013,flagxforxvanuatu,
flag for niue,3005,flagxforxniue,
razor,2986,razor,
flag for st vincent grenadines,2951,flagxforxstxvincentxgrenadines,
flag for st pierre miquelon,2942,flagxforxstxpierrexmiquelon,
flag for malawi,2940,flagxforxmalawi,
flag for lesotho,2939,flagxforxlesotho,
flag for san marino,2933,flagxforxsanxmarino,
flag for turks caicos islands,2901,flagxforxturksxcaicosxislands,
flag for rwanda,2874,flagxforxrwanda,
flag for pitcairn islands,2859,flagxforxpitcairnxislands,
flag for namibia,2838,flagxforxnamibia,
flag for south sudan,2782,flagxforxsouthxsudan,
flag for timor leste,2771,flagxforxtimorxleste,
flag for solomon islands,2709,flagxforxsolomonxislands,
flag for tuvalu,2681,flagxforxtuvalu,
flag for swaziland,2670,flagxforxswaziland,
hindu temple,2667,hinduxtemple,
flag for french southern territories,2663,flagxforxfrenchxsouthernxterritories,
flag for marshall islands,2651,flagxforxmarshallxislands,
squared katakana koko,2642,squaredxkatakanaxkoko,
flag for st helena,2641,flagxforxstxhelena,
large brown circle,2632,largexbrownxcircle,
flag for sao tome principe,2629,flagxforxsaoxtomexprincipe,
kite,2613,kite,
large orange circle,2601,largexorangexcircle,
abacus,2537,abacus,
flag for nauru,2535,flagxforxnauru,
flag for tokelau,2527,flagxforxtokelau,
banjo,2518,banjo,
one piece swimsuit,2476,onexpiecexswimsuit,
yo yo,2446,yoxyo,
safety vest,2386,safetyxvest,
brick,2318,brick,
manual wheelchair,2268,manualxwheelchair,
briefs,2230,briefs,
diya lamp,2229,diyaxlamp,
shorts,2204,shorts,
motorized wheelchair,2189,motorizedxwheelchair,
toolbox,2030,toolbox,
compass,1957,compass,
chair,1775,chair,
receipt,1688,receipt,
probing cane,1436,probingxcane,
